GPU,3DMark(Fire Strike)
GT 710,739
GT 720,661
GT 730,1033
GT 740,1942
GTX 750,3507
GTX 750 Ti,4050
GTX 760,5704
GTX 760Ti,6012
GTX 770,7081
GTX 780,9295
GTX 780Ti,10827
GTX 950,5601
GTX 960,6455
GTX 970,9969
GTX 980,12086
GTX 980Ti,15628
GTX Titan,16310
GT 1030,3206
GTX 1050,5693
GTX 1050Ti,6542
GTX 1060 3GB,9951
GTX 1060 6GB,10648
GTX 1070,15979
GTX 1070Ti,16645
GTX 1080,17755
GTX 1080Ti,21664
GeForce Titan X,22593
GTX 1650,7932
RTX 2060,16695
RTX 2070,18985
RTX 2080,22023
RTX 2080s,23383
RTX 2080Ti,26873
,
,
