TimeId,GT 1030,GTX 1050,GTX 1050Ti,GTX 1060,GTX 1070,GTX 1070Ti,GTX 1080,GTX 1080Ti,GT 710,GT 720,GT 730,GT 740,GTX 750,GTX 750Ti,GTX 760,GTX 770,GTX 780,GTX 780Ti,GTX 950,GTX 960,GTX 970,GTX 980,GTX 980Ti,GeForce Titan X,GTX 1060 3GB,GTX 1060 6GB,GTX 1650,RTX 2060,RTX 2070,RTX 2080,RTX 2080s,RTX 2080Ti
20130530,,,,,,,,,,,,,,,,494.3725798,,,,,,,,,209.99,392.49,154.99,686.45,799.99,889.99,889.99,1850.9
20130601,,,,,,,,,,,,,,,,491.6215705,,,,,,,,,209.99,392.49,NaN,687.45,799.99,889.42,889.42,1799.99
20130602,,,,,,,,,,,,,,,,469.9032651,,,,,,,,,209.99,392.49,NaN,688.45,799.99,889.42,889.42,1799
,,,,,,,,,,,,,,,,468.4263194,,,,,,,,,209.99,392.49,NaN,689.45,799.99,889.42,889,1789
20130603,,,,,,,,,,,,,,,,468.4579287,,,,,,,,,209.99,392.49,154.99,691.45,799.99,889,789.99,1789
20130604,,,,,,,,,,,,,,,,461.2784467,,,,,,,,,209.99,392.49,154.99,692.45,799.99,789.99,789.99,1789
20130605,,,,,,,,,,,,,,,,469.926727,,,,,,,,,209.99,392.49,154.99,693.45,799.99,789.99,789.99,1849
20130606,,,,,,,,,,,,,,,,469.2016085,,,,,,,,,209.99,392.49,154.99,694.45,799.99,789.99,789.99,1689
20130607,,,,,,,,,,,,,,,,470.7871521,,,,,,,,,209.99,392.49,154.99,695.45,799.99,789.99,789.99,1621
20130608,,,,,,,,,,,,,,,,458.566342,,,,,,,,,209.99,394.24,154.99,697.45,799.99,789.99,789,1549.99
20130609,,,,,,,,,,,,,,,,458.3608812,,,,,,,,,209.99,395.99,154.99,698.45,799.99,789,789,1549.99
20130610,,,,,,,,,,,,,,,,458.3476582,,,,,,,,,209.99,395.99,154.99,700.45,799.99,789,789,1549.99
20130611,,,,,,,,,,,,,,,,464.1458714,,,,,,,,,209.99,395.99,154.99,700.45,799.99,789,789,1549.99
20130612,,,,,,,,,,,,,,,,463.7869361,,,,,,,,,209.99,395.99,154.99,700.45,799.99,789,829.99,1499
20130613,,,,,,,,,,,,,,,,465.4320527,,,,,,,,,209.99,395.99,154.99,704.45,783.99,799.99,829.99,1499
20130614,,,,,,,,,,,,,,,,466.1339269,,,,,,,,,209.99,395.99,154.99,705.45,783.99,829.99,799.99,1550
20130615,,,,,,,,,,,,,,,,465.6586263,,,,,,,,,209.99,395.99,154.99,705.45,783.99,799.99,799.99,1499
20130616,,,,,,,,,,,,,,,,466.1154377,,,,,,,,,209.99,395.99,154.99,707.45,773.99,799.99,799.99,1499
20130617,,,,,,,,,,,,,,,,466.1955194,,,,,,,,,209.99,395.99,154.99,707.45,773.99,799.99,829.99,1499.94
20130618,,,,,,,,,,,,,,,,460.9343531,,,,,,,,,209.99,395.99,154.99,710.45,773.99,799.99,829.99,1499.94
20130619,,,,,,,,,,,,,,,,463.3516804,,,,,,,,,209.99,395.99,154.99,712.45,768.99,829.99,829.99,1549
20130620,,,,,,,,,,,,,,,,461.7056749,,,,,,,,,204.995,395.99,154.99,713.45,763.98,829.99,799.99,1475
20130621,,,,,,,,,,,,,,,,455.6359356,,,,,,,,,200,395.99,154.99,715.45,763.98,829.99,829.99,1499.95
20130622,,,,,,,,,,,,,,,,452.7825618,,,,,,,,,201.5,395.99,154.99,715.45,763.98,799.99,829.99,1479.99
20130623,,,,,,,,,,,,,,,,451.8910265,,,,,,,,,203,395.99,154.99,715.45,763.98,829.99,829.99,1489.99
20130624,,,,,,,,,,,,,,,,452.0485027,,,,,,,,,203,395.99,154.99,715.45,763.98,829.99,829.99,1489.99
20130625,,,,,,,,,,,,,,,,452.2529993,,,,,,,,,203,395.99,154.99,715.45,763.98,829.99,829.99,1549.99
20130626,,,,,,,,,,,,,,,,459.3683979,,,,,,,,,203,395.99,154.99,715.45,758.99,829.99,829.99,1549.95
20130627,,,,,,,,,,,,,,,,461.6248947,,,,,,,,,203,395.99,154.99,715.45,758.99,829.99,829.99,1549.95
20130628,,,,,,,,,,,,,,,,458.2601032,,,,,,,,,203,395.99,154.99,715.45,758.99,829.99,829.99,1543
20130629,,,,,,,,,,,,,,,,457.2038087,,,,,,,,,203,395.99,159.99,NaN,739.98,829.99,829.99,1543
